,questions,answers
0, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product.
1, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage -LRB- phase 5 -RRB- and the solution refinement stage -LRB- phase 7 -RRB-
2, What are the main advantages associated with object-oriented programming?, Abstraction and reusability.
3, Where do C plus plus programs begin to execute?, At the main function.
4, What is a variable?, A location in memory that can store a value.
5, Where are variables declared in a C plus plus program?, Variables can be declared anywhere in a program. They can be declared inside a function -LRB- local variables -RRB- or outside the functions -LRB- global variables -RRB-
6, What is the main difference between a while and a do ... while statement?, The block inside a do ... while statement will execute at least once.
7, What is typically included in a class definition?, Data members -LRB- attributes -RRB- and member functions.
8, What is the difference between a data member and a local variable inside a member function?, Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.
9, What is the difference between a constructor and a function?," A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type."
10, When does C plus plus create a default constructor?," If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor."
11, How many constructors can be created for a class?, Unlimited number.
12, What is the difference between a function prototype and a function definition?," A function prototype includes the function signature, i. e., the name of the function, the return type, and the parameters 's type. The function definition includes the actual body of the function."
13, What is the role of a header-file?," To store a class interface, including data members and member function prototypes."
14, What does a function signature include?, The name of the function and the types of the parameters.
15, What is the scope of global variables?, File scope.
16, How does the compiler handle inline functions?, It makes a copy of the function code in every place where a function call is made.
17, What is the main advantage associated with function arguments that are passed by reference?, It avoids making copies of large data structures when calling functions.
18, How are overloaded functions differentiated by the compiler?," Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call."
19," When defining a recursive function, what are possible causes for infinite recursion?"," If the recursion step is defined incorrectly, or if the base case is not included."
20, What are the similarities between iteration and recursion?, They both involve repetition; they both have termination tests; they can both occur infinitely.
21, What are the two different ways of specifying the length of an array?," In the array declaration, or by using an initializer list."
22, What is the main difference between strings declared using the type string versus strings declared using an array of characters?, The strings declared using an array of characters have a null element added at the end of the array.
23, How are arrays passed to functions?, by reference.
24," What is the difference between an array declared as static, and one that is not?"," The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called."
25, How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?," All the dimensions, except the first one."
26, Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?, Run-time error.
27," How are bi-dimensional arrays stored in memory, by rows or by columns?", By rows.
28," In one sentence, what is the main idea implemented by insertion sort?"," Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
29," In one sentence, what is the main idea implemented by selection sort?"," Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
30," What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?", N -LRB- the length of the array -RRB- operations achieved for a sorted array.
31, What is the base case for a recursive implementation of merge sort?, When the size of the array to be sorted is 1 -LRB- or 2 -RRB-
32, What is a pointer?, A variable that contains the address in memory of another variable.
33, What does the address -LRB- ADDRESS -RRB- operator return?, The memory address of its operand.
34, What does the star -LRB- STAR -RRB- operator return?, An alias -LRB- synonym -RRB- for the name of the object that its operand points to in memory. It is the dereferencing operator.
35, How can an array be addressed in pointer or offset notation?," By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
36, What does the sizeof operator return?, The size in bytes of its operand.
37, What are the different ways to pass a pointer to a function?," There are four ways: nonconstant pointer to constant data, nonconstant pointer to nonconstant data, constant pointer to constant data, constant pointer to nonconstant data."
38, What is a function pointer?, The address of the location in memory where the function code resides.
39, What is a linked list?, A collection of elements that can be allocated dynamically.
40, What is the main advantage of linked lists over arrays?, The linked lists can be of variable length.
41, What is the main advantage of arrays over linked lists?," The elements in an array can be accessed directly -LRB- as opposed to linked lists, which require iterative traversal -RRB- ."
42, How are linked lists passed as arguments to a function?, By reference.
43, What is the difference between a circular linked list and a basic linked list?, The last element in a circular linked list points to the head of the list.
44, What is the main advantage of a doubly-linked list over a basic linked list?," All the deletion and insertion operations can be performed in constant time, including those operations performed before a given location in the list or at the end of the list."
45, What is the main disadvantage of a doubly-linked list over a basic linked list?, Extra space required to store the back pointers.
46, What is a stack?," A data structure that can store elements, which has the property that the last item added will be the first to be removed -LRB- or last-in-first-out -RRB-"
47, What are the two main functions defined by a stack?, push and pop
48, How can you implement a stack with an array?," Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array."
49, How can you implement a stack with a list?," Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list."
50," Which implementation -LRB- array-based vs. list-based -RRB- is preferred, and why?"," Link-based, because they are dynamic -LRB- no size constraints -RRB-"
51, How are infix expressions evaluated by computers?," First, they are converted into postfix form, followed by an evaluation of the postfix expression."
52, What operations would you need to perform to find a given element on a stack?," Pop all the elements and store them on another stack until the element is found, then push back all the elements on the original stack."
53, What is a queue?," A data structure that can store elements, which has the property that the last item added will be the last to be removed -LRB- or first-in-first-out -RRB- ."
54, What are the two main functions defined by a queue?, enqueue and dequeue
55, How can you implement a queue with an array?," Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around."
56, How can you implement a queue with a list?," Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list."
57," Which implementation -LRB- array-based vs. list-based -RRB- is preferred for a queue, and why?"," Link-based, because they are dynamic -LRB- no size constraints -RRB-"
58, What is the stack operation corresponding to the enqueue operation in queues?, push
59," What data structure is more appropriate for scheduling printing jobs at a printer, a stack or a queue?", queue
60, What is a tree?," A collection of nodes, which has a special node called root, and the rest of the nodes are partitioned into one or more disjoint sets, each set being a tree."
61, What is the height of a tree?, The length of the longest path from the root to any of its leaves.
62, What is a leaf?, A node that has no children.
63, What is a binary tree?, A tree for which the maximum number of children per node is two.
64, What is a binary search tree?, A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.
65, What is the inorder traversal of a binary tree?," Traverse the left subtree, then the root, then the right subtree."
66, How many comparisons does it take to find an element in a binary search tree?, The height of the tree -LRB- or log of the number of elements in the tree -RRB- .
67, What are the elements typically included in a class definition?, Function members and data members.
68, What are the access-specifiers that can be used in a C plus plus class definition?, Private and public.
69, How are objects initialized when they are created?, By using constructors.
70, What is a function signature?," The name of the function and the list of parameters, including their types."
71, What is a recursive function?, A function that calls itself.
72, What is the alternative way to solve a problem that could be solved through recursive functions?, Through iteration.
73, What is the difference between an array that is declared as static and one that is not?, The static arrays are intialized only once when the function is called.
74, What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char []?, The char [] will automatically add a null 0 character at the end of the string.
75, Briefly describe the divide-and-conquer paradigm.," Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem."
76, Briefly describe in one sentence how does merge sort work?," It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays."
77, What is a pointer?, The address of a location in memory.
78, What is the experimental approach for measuring the running time of an algorithm?, Implement the algorithm and measure the physical running time.
79, Order the following functions by their running time: n to the power of 2; log -LRB- log n -RRB- ; 2 to the power of -LRB- log n -RRB- ; n!; n to the power of 3., log -LRB- log n -RRB- ; 2 to the power of -LRB- log n -RRB- ; n to the power of 2; n to the power of 3; n!
80," Briefly, how does selection sort work?"," It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth."
81, What is the advantage of linked lists over arrays?," Linked lists are dynamic structures, which allow for a variable number of elements to be stored."
82, What is a queue?, A data structure that stores elements following the first in first out principle. The main operations in a queue are enqueue and dequeue.
83, What are the main operations associated with a stack?, push and pop
84, What is the Euler tour traversal of a tree?," A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right."
85, How do you delete a node from a binary search tree?," Find the node, then replace it with the leftmost node from its right subtree -LRB- or the rightmost node from its left subtree -RRB- ."
86, How many steps does it take to search a node in a binary search tree?, The height of the tree.
